Revolt;Participants;Year;Monarchy;Synopsis;Country;freq
Oporto revolt 1638;Artisans;1638;Portuguese;A revolta do Porto inscreve-se na serie de alterações que ocorreram em Portugal na década de 1630. Têm como causa comum a fiscalidade, sobretudo o aumento do cabeção das sisas e do real d'água. Englobam também a defesa de privilégios municipais (colectivos) e rejeição contra os excessos na cobrança praticados pelos corregedores, assim desrespeitando os privilégios particulares de cada estrato social. Foram estudados por Aurélio de Oliveira e António de Oliveira. Ambos destacam as pressões anti-fiscais, rebatendo a tese de Romero Magalhães sobre a fome como o principal motor. Todos concordam na capacidade expansiva das agitações após a revolta de Évora, em 1637. No Porto, os protestos contra a fiscalidade vinham de há muito. Em 1638, o corregedor insistiu na cobrança do real d’agua e na quarta parte do cabeção das sisas. A reacção local foi a convocação em 18 de fevereiro de um ajuntamento de fidalgos e cidadãos para escrever ao rei dizendo que o real d’água já tinha sido pago em 1631. Cinco dias depois, a resposta do rei chegou intransigente. O resultado foi o assalto nocturno à câmara e o incêndio do cartório com os registos fiscais e o arrolamento dos bens dos cidadãos. A posterior devassa não apurou culpados. A vereação fez denúncias, pelo que Madrid forçou a sua deposição, nomeando outra gente. Mas a resistência à cobrança manteve-se com a conivência dos novos camaristas e em 1639 recusaram-se a registar o regimento da imposição do real d’água nos livros da câmara.;Portugal;31
Oropesa riot in Madrid 1699;Artisans;1699;Spanish;On the morning of April 28th, 1699 the so-called Oropesa Riot broke out in the city of Madrid in the context of a subsistence crisis and the political struggle triggered by the succession of king Charles II. The immediate event that led to the outburst of the riot took place in Madrid’s Plaza Mayor, the city’s main square. The rude and condescending response of Madrid’s Corregidor, Francisco de Vargas, to a woman who had complained about the increasingly high prices of bread and its poor quality ignited a violent protest from offended bystanders at the Plaza Mayor. From this location, demonstrators rallied to the Royal Palace, demanding from the king lower grain prices and the fall of Madrid’s Corregidor. Their appeals were finally met, but this did not prevent the attack of the residence of the president of the Council of Castile, Manuel Joaquín Álvarez de Toledo, Count of Oropesa, who was likewise forced to resign.;Spain;31
Palermo riots 1560;Artisans;1560;Spanish;On 23 September a popular revolt broke out as a protest against the municipal council´s intention to increase the taxes on basic consumer products (bread, oil and cheese), so as to address the deficit of the public treasure. Firstly, Minicio Morello from the tailors´guild led the protest and mobilized other artisans, small merchants, and townspeople to force a negotiation with the authorities to guarantee the supply of grain at a fair price and to avoid the imposition of new excises on commerce and food products. On 26, a charismatic notary, Cataldo Tarsino, led a group of 200-300 armed people who assembled in the central streets of Palermo and acted with violence against some nobles and knights linked to the urban government. Measures taken by the city government in the preceding months had harmed both the interests of Tarsino's factional group and those of the artisans who firstly lead popular discontent. Through popular collective mobilization and violent actions, they sought to force a change of course in urban policies and to expand the spaces for participation in citizen political life. Since the viceroy and his troops were in Messina and the praetor had fled from Palermo at the beginning of the revolt, the noblemen, particularly the Count of Vicari, led the negotiation with the rioters, the repression and the restoration of public order in the city.;Italy;31
Palermo riots 1708;Artisans;1708;Spanish;The conflict broke out as a protest, led by urban guilds, to an alleged viceroy’s plan to place Palermo under the control of soldiers arrived from Spain which threatened traditional guilds´ privilege. It was then a crucial phase in the war of the Spanish succession in the Mediterranean area, and an allied invasion of the island was feared. Popular dissatisfaction was fueled by the slow process of coin replacement ordered by the viceroy, the low quality and high price of grain, and the viceroy’s strong demands –backed by the urban government– on the city and the citizens´ resources. On 29 May there were assaults, looting and deaths attributed to a shapeless mob by authorities. Violence was against people and places linked to the troops billeted in Palermo and to the municipal government –the crowd forced the change of praetor. Unrest went on until 20 June when the viceroy granted guilds´ demands on defense, food supply and tax revenues, and also a blanket pardon. Just a man was executed under the accusation of a crime of lèse-majesté, but repression continued. A ‘junta’ that investigated those who had stood out as agitators or adopted a radical stance in the negotiations, dismantled a plot in Palermo and Trapani led by members of guilds, local officials, clergy and lower nobility, who aimed to take advantage of the popular agitation in Palermo to propitiate an Imperial invasion. The conflict wasn´t just on local matters, but also linked to the international context.;Italy;31
Palermo riots 1708;Undifferentiated;1708;Spanish;The conflict broke out as a protest, led by urban guilds, to an alleged viceroy’s plan to place Palermo under the control of soldiers arrived from Spain which threatened traditional guilds´ privilege. It was then a crucial phase in the war of the Spanish succession in the Mediterranean area, and an allied invasion of the island was feared. Popular dissatisfaction was fueled by the slow process of coin replacement ordered by the viceroy, the low quality and high price of grain, and the viceroy’s strong demands –backed by the urban government– on the city and the citizens´ resources. On 29 May there were assaults, looting and deaths attributed to a shapeless mob by authorities. Violence was against people and places linked to the troops billeted in Palermo and to the municipal government –the crowd forced the change of praetor. Unrest went on until 20 June when the viceroy granted guilds´ demands on defense, food supply and tax revenues, and also a blanket pardon. Just a man was executed under the accusation of a crime of lèse-majesté, but repression continued. A ‘junta’ that investigated those who had stood out as agitators or adopted a radical stance in the negotiations, dismantled a plot in Palermo and Trapani led by members of guilds, local officials, clergy and lower nobility, who aimed to take advantage of the popular agitation in Palermo to propitiate an Imperial invasion. The conflict wasn´t just on local matters, but also linked to the international context.;Italy;31
Pamplona riots 1592;Undifferentiated;1592;Spanish;En julio de 1592 se produjeron en Pamplona unos incidentes de muy escasa entidad que, sin embargo, se presentaron como graves ante la Monarquía. En la noche del 13 de julio de 1592 el Licenciado Suescun, alcalde de la Corte Mayor, ordenó el encarcelamiento de los diez regidores de la ciudad en las casas del ayuntamiento, provocando muchas especulaciones en la ciudad porque en ningún momento se especificó el motivo de la detención. La orden de prisión traía causa de los incidentes que se habían producido unas horas antes en el momento de finalizar una corrida de toros por las fiestas de San Fermín. En ese momento, después de que el virrey hubiera dado por concluida la corrida de toros y que tanto él como el resto de autoridades reales se encontraran en la arena para abandonar la plaza, se había sacado un toro más. El hecho provocó la airada reacción del virrey que lo consideró un desorden grave y una falta de respeto a la Justicia y a los ministros de los tribunales reales (Consejo real, Corte Mayor y Cámara de Comptos) que requería su inmediato control para evitar que pudieran derivar en sucesos tan graves como los acaecidos en Zaragoza en 1591. En cambio el regimiento los presentó ante Felipe II como una manifestación de la arbitrariedad con la que actuaba el virrey. Finalmente, el miércoles 15 de julio los regidores quedaron en libertad.;Spain;31
Pernambucan revolt 1817;Artisans;1817;Portuguese;La rebelión pernambucana o revuelta de Pernambuco se produjo en esa región del nordeste del Brasil en 1817. Fue provocada fundamentalmente por la disminución de la producción de azúcar y por un constante sentimiento antilusitano, todo ello sumado a la lucha por la independencia de las colonias españolas en toda América del Sur, la caída de Napoleón en Europa y las nuevas ideas de independencia que desde los Estados Unidos se irradiaban sobre el continente. El movimiento fue dirigido por Domingos José Martins con el apoyo de António Carlos de Andrada e Silva y Frei Caneca, este último un influyente religioso, político y periodista. El movimiento declaró la república en la región de Pernambuco y tuvo el apoyo del Consulado General de los Estados Unidos en Recife, constituyéndose de ese modo en uno de los primeros intentos de establecer un gobierno independiente en Brasil, solamente precedido por la “Inconfidência Mineira”. Los revolucionarios tomaron Recife e implantaron un gobierno provincial estableciendo la igualdad de derechos y la tolerancia religiosa sin abolir la esclavitud. Los desacuerdos entre los revolucionarios llevaron a que las tropas portuguesas pudieran entrar en mayo de 1817 en la ciudad de Recife, después de combates muy violentos (más de 300 muertos), a que siguió una represión también muy violenta, tomando prisioneros a los líderes de la revolución y ejecutando a 14 de ellos. El movimiento dejó una marca muy profunda en el Nordeste de Brasil.;Brazil;31
Ponte de Lima riot 1636;Artisans;1636;Portuguese;Este alvoroço insere-se no conjunto de alterações que ocorreram em Portugal na década de 1630 e que de acordo com vários autores têm como causa comum a fiscalidade, sobretudo o aumento do cabeção das sisas e do real d'água. Queixa também habitual nas alterações que se verificaram em diferentes regiões de Portugal era sobre os oficiais régios, em particular os corregedores, pela responsabilidade que lhes fora dada na fiscalização da cobrança. No entanto, poucos detalhes são conhecidos. De acordo com Aurélio de Oliveira, em 1636 os moradores de Ponte de Lima, município situado na região do Minho, no Norte de Portugal, andavam inquietos. A irritação dirigia-se contra o corregedor Francisco Monteiro Montarroio que, de acordo com as actas das vereações, andava a desrespeitar as justiças e os privilégios desse concelho. Também o juiz de fora se sentia incomodado e pouco disposto a cumprir as ordens régias por causa desses abusos do magistrado. Para pedir remédio, 150 moradores alfabetizados assinaram uma petição ao rei. Protegiam as queixas dos marchantes que em sinal de protesto haviam já feito greve ao corte de carnes na vila.;Portugal;31
Porto uprising 1757;Undifferentiated;1757;Portuguese;"A causa do motim foi a criação da Companhia Geral da Agricultura das Vinhas do Alto Douro em 1756, que entre outros privilégios, tinha o exclusivo da venda de vinho na cidade do Porto e reduziu o número de tabernas, implementando o pagamento de licenças para que pudessem abrir. Teria também o monopólio de exportação de vinhos, aguardentes e vinagres para o Brasil, negócio dominado nesta altura pelos mercadores instalados na cidade. A revolta não foi espontânea, e estava a ser preparada desde 1756. Aglomeraram-se mais de 1000 pessoas no motim contra todos os espaços e autoridades da Companhia e dos representantes régios na cidade, como o corregedor, o provedor, desembargadores da Relação. Resultaram vários feridos. A repressão foi muito violenta: ocupação militar (cerca de 3000 homens) por parte de um exército real na cidade, contra o seu privilégio, colocando-os a viver em casa de alguns dos acusados; julgamentos verbais ou sumários; proibição de ajuntamentos intra-muros; proibição de porte de armas; proibição de circulação nocturna; obrigatoriedade do uso de passaporte para entrar/sair da cidade; aumento do subsídio militar sob os contribuintes da cidade; substituição dos vereadores; levantamento noturno de forcas nos pontos da revolta; esquartejamento dos cadáveres dos alegados líderes da revolta e a sua exposição por vários dias; cabeças degoladas de participantes da revolta expostas sobre espetos nas portas da cidade. Só em 1770 a cidade recuperou alguma normalidade.";Portugal;31
Rebellion of the Barrios 1765;Artisans;1765;Spanish;Se llama “rebelión de los estancos” o “de los barrios” a un conjunto de protestas en las que grupos diversos, provenientes de los barrios quiteños con dirigentes criollos, saquean e incendian la fábrica de aguardientes y la aduana. Las causas se vinculan directamente con la disposición de que el estanco del aguardiente y la administración de alcabalas funcionaran directamente bajo la administración real. También se prohíbe la producción de bebidas alcohólicas a particulares. Todas estas medidas afectaban a la población en términos muy amplios. Por esta razón, la rebelión de lo barrios tuvo una participación sumamente diversa. Comienza como una protesta de criollos y se profundiza llegando a tener una posición antiespañola. Como resultado de esta rebelión se suprimen los impuestos del estanco y la aduana y se expulsa de la ciudad a los españoles peninsulares solteros.;Ecuador;31
Revolt of Messina 1674-1678;Artisans;1678;Spanish;"Para entender esta revuelta se debe partir de la división de la sociedad de Mesina en dos bandos antagónicos: los malvizzi o malvizos, patricios y partidarios de las reivindicaciones del Senado; y los merli o merlos, plebeyos y afines a la política del estraticó Luis del Hoyo, máximo representante de la monarquía hispánica en la ciudad. El sábado 7 de julio de 1674 un tumulto organizado por los malvezzi y el propio Senado se levantó contra los merli y los gobernantes hispánicos que los apoyaban, bajo la sospecha de que existía un plan para acabar con las libertades y los privilegios de la ciudad, así como con los propios malvezzi. Antes de que este plan se llevase a cabo, fueron los propios malvezzi quienes primero se levantaron. Senadores y una multitud de gente tumultuosa se dirigieron a la sede del Senado y reunidos en forma de Consejo Ordinario de Mesina declararon enemigos de la ciudad a Luis del Hoyo, a tres jueces, a varios ministros y a los principales merlos, tras lo cual la multitud, con un retrato del rey Carlos II al frente, se dirigió al palacio estraticocial. En pocas semanas los malvezzi se hicieron con el control de la ciudad, expulsando a los españoles, y con la ayuda francesa mantendrían su independencia hasta que en 1678 Luis XIV decide retirarles su apoyo para hacer frente a la reciente y peligrosa alianza angloholandesa. A mediados de marzo de 1678 los franceses abandonan la ciudad y esta queda de nuevo incorporada a la monarquía hispánica.";Italy;31
Revolt of Naples 1647;Artisans;1648;Spanish;El 7 de julio de 1647, una multitud en la Plaza del Mercado de Nápoles se amotina contra el gobierno de dicha ciudad. La revuelta estaba encabezada por el vendedor de pescado Tommaso Aniello, Masaniello, quien tradujo el descontento social a raíz de un nuevo impuesto --la gabela de la fruta-- en un levantamiento contra la Monarquía Hispánica, la cual ejercía desde los tiempos del conde-duque de Olivares una creciente presión impositiva sobre dicho reino. Aunque el líder de la revuelta pronto fue asesinado por los suyos (16 de julio), la revuelta se nutrió de más apoyos, dentro y fuera de la ciudad, y bajo el grito de 'Viva Dio e il re di Spagna, mora il mal governo', no solamente reclamó y consiguió la abolición del impuesto sobre la fruta, sino que se propuso luchar por otros objetivos políticos y sociales más ambiciosos, en ocasiones con tintes antiseñoriales. Ante los acontecimientos, la corona se encomienda en octubre a don Juan de Austria para derrotar militarmente el levantamiento, pero el apoyo francés a la causa insurrecta se materializa en la proclamación de una nueva entidad política, la República Napolitana. La multiplicidad de intereses de los sublevados y la actitud autoritaria del nuevo Duce, el duque de Guisa, así como el triunfo militar de don Juan de Austria, ponen fin al experimento republicano y, tras la amnistía e indultos pertinentes, devuelven la ciudad y el reino a la Monarquía Hispánica en abril de 1648.;Italy;31
Revolt of Palermo 1647;Artisans;1647;Spanish;Revolts in Palermo broke out in a context of urban financial crisis, dearth and epidemic. It was also a period of instability in the Spanish monarchy, economically and militarily exhausted by the 30-year war, and stressed by the extraordinary government of the Count-Duke of Olivares which led to rebellion in Portugal and Catalonia. Popular discontent in Palermo for the reduction of the weight of bread turned into rioting on 20 May. Rioters acted with violence against places linked to urban government, treasury and tax offices, and to people considered to be profiting from the fiscal and the food supply systems. After 2 days of unrest, the viceroy restored the weight of bread, abolished the 5 gabelle (excises on grain, wine, oil, meat and cheese), deposed the local senate, and granted guilds the right to elect 2 popular senators. On 14 August a new uprising was led by an artisan Guiseppe D´Alesi with the tanners´ and fishers' guilds. With the assistance of lawyers and intellectuals they demanded the acceptance of 49 capitoli, which would abolish the gabelle in the whole kingdom and grant the guilds greater participation in local government. Alesi was murdered by a coalition of artisans, noblemen and the Inquisition on 22, then the guilds´ demands were published. The viceroy, who had fled from Palermo, returned in September and negotiated new capitoli with the guilds, which maintained some popular claims and reforms in the urban government that lasted for almost one year.;Italy;31
Revolt of the Barretines 1687-1689;Artisans;1689;Spanish;Tras la carestía derivada de una mala cosecha (debida, a su vez, y entre otras cosas, a una plaga de langostas que devoró la cosecha de 1687) y el malestar social producido por el repartimiento de cargas militares y por el alojamiento de los propios militares entre la población a raíz de la Guerra de los Nueve Años (1689-1697), una liga de payeses o campesinos del interior de Cataluña se levantan en armas contra la Monarquía. Entre las justificaciones últimas de la revuelta de los barretines (llamados así por portar todos ellos barretina, un gorro morado o rojo) estaban, entre otras, que en las constituciones catalanas no se recogía en ningún momento el alojamiento y manutención de soldados entre la población civil, algo que sí se realizaba en territorio castellano. Los barretines marchan sobre Barcelona con un memorial para exigir: la restitución de los cargos de la Generalitat cesados previamente por dar voz a las protestas, la renegociación de cargas militares y un perdón general para todos aquellos que habían dirigido o participado en las protestas, algo que finalmente consiguen. La protesta adquirió, además, tintes antiseñoriales contra la administración local entre 1688 y 1689.;Spain;31
Rio de Janeiro tax revolt 1644;Undifferentiated;1644;Portuguese;Luís Barbalho Bezerra, natural de Pernambuco, assumiu o governo do Rio de Janeiro em 02 de junho de 1643, num cenário de penúria pessoal, após perder sua fortuna na guerra luso-holandesa no Brasil. O governador tinha por incumbência real pôr subsídio do vinho e vintena nos bens dos moradores. A câmara e moradores alegavam não ter rendimentos suficientes devido à epidemia de varíola que dizimou a escravaria dos engenhos e reduziu a produção do açúcar. Luís Barbalho propôs novos impostos para fortificar a cidade, aumentar a guarnição da praça de 260 para 600 soldados, e pagar os soldos em atraso. O conflito eclodiu em 1644, quando o governador tentava cumprir uma ordem de D. João IV para transferir toda a moeda cunhada na capitania para a próspera cidade de Salvador da Bahia, então bastião da resistência portuguesa. Descontente, a população se amotina, tenta tirar o cofre com as moedas da casa do governador, impedindo-o de cumprir a ordem régia. Luís Barbalho morre pouco tempo depois, a 15 de abril de 1644. Apesar da oposição dos militares, a câmara nomeia o capitão-mor Duarte Correia Vasqueanes como sucessor. A eleição é impugnada pelo governador geral do Brasil, Antônio Teles da Silva, que designa o mestre de campo Francisco de Souto Maior para assumir a capitania. Face às resistências locais, a coroa nomeia Duarte Correia Vasqueanes como governador efetivo, e Francisco Souto Maior passa à África na expedição para a reconquista de Angola. Os rebeldes não foram punidos.;Brazil;31
Riot against the royal guard 1670;Artisans;1670;Spanish;Durante los últimos días del mes de julio y los primeros de agosto de 1670, diferentes altercados se dirigieron contra la denominada Guardia Chamberga en la propia capital de la Monarquía Hispánica: Madrid. Dicho cuerpo, una guardia del rey instituida un año antes, había sido creada por la regente Mariana de Austria (viuda de Felipe IV, madre del todavía menor Carlos II) ante la inestabilidad a la que estaba sometida la corona y sobre todo su regencia por Juan José de Austria. Inicialmente los sucesos violentos enfrentaron a alguaciles de la corte contra dicho cuerpo militar, si bien posteriormente la base social del movimiento se amplió a diferentes gremios de artesanos de la ciudad y demás individuos del vulgo madrileño, protestando por la presencia de una unidad militar en el interior de su propia ciudad. Los acontecimientos contaron con pendencias y escaramuzas entre alguaciles y militares hasta que el 3 de agosto se da por apagado y controlado el motín.;Spain;31
Santarem riots 1637;Artisans;1637;Portuguese;Como explicou para tantas outras partes de Portugal, António de Oliveira considerou que a causa principal dos levantamentos ocorridos em várias terras das comarcas de Santarém, Setúbal e Tomar, em 1637, foi a recusa à fiscalidade acrescida do real d’água e da quarta parte das sisas. Em 9 de Setembro desse ano, o corregedor de Santarém informou sobre o levantamento do povo de Montargil, a 18 desse mês Coruche, em 6 de Outubro foi a vez da Chamusca e da Erra. Sobre a Golegã quem informou foi o seu juiz de fora por carta de 10 de Outubro, embora noticiasse que as inquietações tinham tido lugar na noite de 2 para 3. Seguiram cartas informando a redução de Montargil, Coruche, Chamusca, Erra (esta ainda só como hipótese) em 9 de Janeiro de 1638 e em 16, o juiz de fora relatava que a acalmia chegara à Golegã e que já se cobrara aí o real d’água e a quarta parte da sisa do ano de 1637. Informava ainda que já “tinha posto um olheiro , enquanto o provedor da comarca não ia lançar a sisa”. Comum a muitas destas inquietações foi a queima dos cartórios. O tempo dos levantamentos não foi muito longo e os sublevados foram sobretudo populares, com alguns clérigos como mentores encobertos.;Portugal;31
Santarem riots 1637;Undifferentiated;1637;Portuguese;Como explicou para tantas outras partes de Portugal, António de Oliveira considerou que a causa principal dos levantamentos ocorridos em várias terras das comarcas de Santarém, Setúbal e Tomar, em 1637, foi a recusa à fiscalidade acrescida do real d’água e da quarta parte das sisas. Em 9 de Setembro desse ano, o corregedor de Santarém informou sobre o levantamento do povo de Montargil, a 18 desse mês Coruche, em 6 de Outubro foi a vez da Chamusca e da Erra. Sobre a Golegã quem informou foi o seu juiz de fora por carta de 10 de Outubro, embora noticiasse que as inquietações tinham tido lugar na noite de 2 para 3. Seguiram cartas informando a redução de Montargil, Coruche, Chamusca, Erra (esta ainda só como hipótese) em 9 de Janeiro de 1638 e em 16, o juiz de fora relatava que a acalmia chegara à Golegã e que já se cobrara aí o real d’água e a quarta parte da sisa do ano de 1637. Informava ainda que já “tinha posto um olheiro , enquanto o provedor da comarca não ia lançar a sisa”. Comum a muitas destas inquietações foi a queima dos cartórios. O tempo dos levantamentos não foi muito longo e os sublevados foram sobretudo populares, com alguns clérigos como mentores encobertos.;Portugal;31
Setubal riots 1637;Artisans;1637;Portuguese;Como explicou para tantas outras partes de Portugal, António de Oliveira considerou que a causa principal dos levantamentos ocorridos em várias terras das comarcas de Santarém, Setúbal e Tomar, em 1637, foi a recusa à fiscalidade acrescida do real d’agua e da quarta parte das sisas. Na comarca de Setúbal o ouvidor noticiou inquietações em Canha em 22 de Setembro e em Grândola a 28, em Alcácer do Sal a 3 de Outubro, enquanto Azeitão foi reportada pela donatária, a duquesa de Aveiro, a 30 desse mês, dizendo que tinham queimado os papéis do real d’água e destruído as balanças em que se pesava a carne da vila. Em 31 Janeiro de 1638, Alcácer do Sal já estava reduzida e a pagar os tributos, enquanto Canha e Grândola demoraram um pouco mais. O tempo dos levantamentos foi curto e os sublevados foram sobretudo populares, embora se suspeitasse que alguns clérigos fossem os mentores encobertos.;Portugal;31
Setubal riots 1637;Undifferentiated;1637;Portuguese;Como explicou para tantas outras partes de Portugal, António de Oliveira considerou que a causa principal dos levantamentos ocorridos em várias terras das comarcas de Santarém, Setúbal e Tomar, em 1637, foi a recusa à fiscalidade acrescida do real d’agua e da quarta parte das sisas. Na comarca de Setúbal o ouvidor noticiou inquietações em Canha em 22 de Setembro e em Grândola a 28, em Alcácer do Sal a 3 de Outubro, enquanto Azeitão foi reportada pela donatária, a duquesa de Aveiro, a 30 desse mês, dizendo que tinham queimado os papéis do real d’água e destruído as balanças em que se pesava a carne da vila. Em 31 Janeiro de 1638, Alcácer do Sal já estava reduzida e a pagar os tributos, enquanto Canha e Grândola demoraram um pouco mais. O tempo dos levantamentos foi curto e os sublevados foram sobretudo populares, embora se suspeitasse que alguns clérigos fossem os mentores encobertos.;Portugal;31
Shimabara rebellion 1637-1638;Undifferentiated;1637;Portuguese;The Shimabara rebellion was a revolt that took place in the peninsula east of Nagasaki, that opposed the local habitants, most of them Christians, to the agricultural exploitation and the high taxes demanded by the local daimyo. Duo to the large numbers of Christians, it soon transformed also into a revolt against the oppression imposed by the bafuku in what concerned the prohibition of all catholic practices and was perceived, by the dominant power, as a manifestation of the negative effects that the external influences could have in Japan. The final military confront took place at April 12, 1638, when the Emperor forces, of around 150000 soldiers, took control of the castle of Hara-jo and ended the rebellion. In the end, around 37000 Christians lost their lives. The rebellion had a strong impact on the Christian presence in Japan and on the hopes of the missionaries in keeping the Japanese missions alive. It was also a sign of the decreasing influence played by the Iberian agents in Japan, in opposition to the Dutch presence and importance. Finally, the conflict also reflects the growing power of the Emperor and the growing centralization that was taking place in Japan at this time.;Japan;31
Sousel riots 1637;Artisans;1637;Portuguese;Alarmado com a onda de levantamentos que estavam a espalhar-se pelo Alentejo, e perante a ameaça de estalarem episódios semelhante na sua vila de Sousel, o duque de Bragança pediu a intervenção do seu procurador dos feitos da casa na vila - Gonçalo Soeiro de Azevedo – para este mobilizar os seus parentes para apaziguar os tumultos que por aí havia. Dizia o duque em carta de 26 de Setembro 1637: “cada dia me dizem que há nessa vila motins ou esperanças de os haver e que o povo trata de soltar presos e queimar cartórios, livros e papeis da câmara não sendo coisa de que eles possam alcançar bem nenhum particular, nem o povo utilidade alguma e por me parecer que só vós com vossos parentes podereis ser o meio para isso se aquietar vos quis escrever esta encomendando-vos muito que com todo o cuidado trateis com todas as forças de aquietar tudo...”. Sousel, adivinha-se, partilhava com tantas outras terras, a indignação contra a nova tributação do real d’água e o aumento do quarto do cabeção das sisas decretado por Filipe IV, sem o necessário consentimento dos povos em cortes. Em qualquer caso, a intervenção do duque de Bragança valeu aos moradores das suas terras serem todos, sem excepção, abrangidos pelo perdão geral concedido por Filipe IV.;Portugal;31
Sousel riots 1637;Undifferentiated;1637;Portuguese;Alarmado com a onda de levantamentos que estavam a espalhar-se pelo Alentejo, e perante a ameaça de estalarem episódios semelhante na sua vila de Sousel, o duque de Bragança pediu a intervenção do seu procurador dos feitos da casa na vila - Gonçalo Soeiro de Azevedo – para este mobilizar os seus parentes para apaziguar os tumultos que por aí havia. Dizia o duque em carta de 26 de Setembro 1637: “cada dia me dizem que há nessa vila motins ou esperanças de os haver e que o povo trata de soltar presos e queimar cartórios, livros e papeis da câmara não sendo coisa de que eles possam alcançar bem nenhum particular, nem o povo utilidade alguma e por me parecer que só vós com vossos parentes podereis ser o meio para isso se aquietar vos quis escrever esta encomendando-vos muito que com todo o cuidado trateis com todas as forças de aquietar tudo...”. Sousel, adivinha-se, partilhava com tantas outras terras, a indignação contra a nova tributação do real d’água e o aumento do quarto do cabeção das sisas decretado por Filipe IV, sem o necessário consentimento dos povos em cortes. Em qualquer caso, a intervenção do duque de Bragança valeu aos moradores das suas terras serem todos, sem excepção, abrangidos pelo perdão geral concedido por Filipe IV.;Portugal;31
Stamped paper riot 1661;Artisans;1661;Portuguese;Para suportar os custos da Guerra da Restauração é instituído pelo alvará de 24-12-1660 o imposto sobre o papel selado, obrigatório em todo o tipo de escritura ou registo público. A 4 de Maio foi divulgada a ordem para a utilização única de papel selado para todos os actos públicos na cidade do Porto. Nessa manhã, os procuradores do povo acorreram à Câmara Municipal para que esta escrevesse à rainha sobre as preocupações do povo. No exterior, estavam à espera de resposta crianças, mulheres e alguns homens, a que se juntaram mais pessoas e foram até junto dos funcionários que aplicariam o imposto, entrando à força e queimando todo o papel. Naquela noite, o clero tentou pacificar os ânimos, mas no dia seguinte liderou nova revolta. Em resposta, as autoridades mobilizaram para a cidade 4000 soldados de infantaria e 500 de cavalaria, foi extinta a Casa dos Vinte e Quatro pela rainha, foram destituídos os procuradores do povo, foram decretadas penas menores para os participantes no motim. Mulheres e crianças não sofreram qualquer pena.;Portugal;31
Succession crisis riots in Coimbra 1580;Undifferentiated;1580;Portuguese;"Durante o verão de 1580, D. António, prior do Crato, enviou para Coimbra D. João Rodrigues de Vasconcelos, """"clérigo nobre"""", com ordens para provocar uma série de tumultos na cidade. Os seus esforços acabariam por resultar na expulsão do corregedor e do governador, Pedro Guedes. Coimbra chegou a ser considerada a cidade mais afecta à causa de D. António, que a recompensou com mercês. Depois da derrota do prior em Alcântara, os estudantes e os lavradores da região terão engrossado as suas fileiras, havendo quem fale num contingente de cerca de cinco mil homens que saiu de Coimbra para se juntar à marcha de D. António para Aveiro. No outono, a aproximação das tropas de Sancho de Ávila acabaria por garantir a rendição da cidade a Filipe II. As cumplicidades com o prior resultariam em medidas repressivas no início do reinado do rei católico, chegando-se a pôr em causa a sobrevivência da universidade, tida por alguns como um “seminário de sedições e de milícia” leal ao prior do Crato.";Portugal;31
Succession crisis riots in Lisbon 1580;Artisans;1581;Portuguese;Na primavera de 1580, um criado de D. António, prior do Crato, foi condenado à morte pelo assassinato de um vereador lisboeta que defendera a entronização de Filipe II. No dia da execução, um levantamento instigado por religiosos que apoiavam D. António conseguiu travar a construção da forca, e o corregedor só pôde cumprir a sentença com apoio militar. O prior do Crato foi aclamado em Santarém e entrou em Lisboa em Junho, quando o exército castelhano do duque de Alba já tinha invadido o Portugal. D. António mobilizou as defesas possíveis na cidade, chegando a libertar e armar escravos. Os testemunhos descrevem tumultos intercalados por momentos de euforia e desespero à medida que chegavam a Lisboa rumores sobre os avanços castelhanos. O enfrentamento entre os homens do prior do Crato e o exército do duque de Alba deu-se a 25 de Agosto, em Alcântara. Com D. António derrotado e em fuga, a Câmara de Lisboa declarou obediência a Filipe II, mas não conseguiu evitar o saque dos arrabaldes pelas tropas vencedoras. Nos meses seguintes, enquanto alguns lisboetas se queixavam a Filipe II dos abusos da guarnição castelhana, outros encetavam rixas violentas contra os soldados. Alba escrevia sobre bandos que aclamavam D. António pelas ruas e, nas vésperas da entrada de Filipe II na cidade, no verão de 1581, ainda havia quem temesse o “povo solto” que se queixava, proferia ameaças e falava de “coisas passadas”.;Portugal;31
Succession crisis riots in Santarém 1580;Undifferentiated;1580;Portuguese;Em Junho de 1580, chegou a Santarém o rumor de que as tropas de Filipe II tinham invadido o Alentejo. No dia 19, durante uma reunião em que se discutia a preparação de fortalezas na vila, as intervenções do bispo da Guarda e de um homem de Vila Franca conhecido por “Baracho” agitaram os participantes, acabando por provocar a aclamação de D. António, prior do Crato, como rei de Portugal. A multidão levou o prior para o centro da vila e depois para a Alcáçova, ameaçando a guarnição, que acabou por se render (o alcaide já tinha escapado, rumando a Setúbal). Fez-se por cumprir o protocolo das aclamações, com a confirmação pelos “actos e as escrituras habituais” na casa do Senado e com um cortejo nas ruas com estandarte régio, brados e lançamento de moedas. Além disso, fez-se uma procissão pelos lugares sagrados da vila. D. António não tardaria a rumar a Lisboa e, depois da sua derrota decisiva em Alcântara, Santarém entregaria as chaves ao duque de Alba a 28 de Agosto, declarando obediência a Filipe II.;Portugal;31
